date,volume_change,high_low_ratio,target,headline,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded,close_norm,price_change_norm,news_count_capped
2023-01-04,-0.592745899408003,0.0,0,Apple market update,18.305422529500724,2,1,1,0,0,0,-2.140101600937123,0.5609670436085031,0.5265890341390445
2023-01-05,-0.2359397125040404,0.0,1,Apple market update,18.209499125101075,3,1,1,0,0,0,-2.1718808329315307,-0.7277788022287116,0.5265890341390445
2023-01-09,-0.5532454402197409,0.0,1,Apple market update,18.075239620843863,0,1,1,1,0,0,-2.050301195377168,0.1786596635036834,0.5265890341390445
2023-01-10,-0.2533318206998685,0.0,1,Apple market update,17.972770465311235,1,1,1,0,0,0,-2.0365783451977646,0.2033246557685104,0.5265890341390445
2023-01-11,0.2346022280004348,0.0,0,Apple market update,18.056245783099172,2,1,1,0,0,0,-1.971334618906216,1.226921834758834,0.5265890341390445
2023-01-12,0.0896888694702892,0.0,1,Apple market update,18.0835226862096,3,1,1,0,0,0,-1.973260632966483,-0.1111539956080347,0.5265890341390445
2023-01-13,-0.5427102114283452,0.0,1,Apple market update,17.872667156929733,4,1,1,0,1,0,-1.9412406492145424,0.5486345474760895,0.5265890341390445
2023-01-17,0.2670335922237309,0.0,0,Apple market update,17.9688564801278,1,1,1,0,0,0,-1.913313445340669,0.4684733226154015,0.5265890341390445
2023-01-18,0.2524007318313299,0.0,1,Apple market update,18.059320570016148,2,1,1,0,0,0,-1.9306475718830731,-0.4071339027859597,0.5265890341390445
2023-01-19,-0.4565541768270512,0.0,1,Apple market update,17.880776419844135,3,1,1,0,0,0,-1.9292030613378728,-0.049491514945967,0.5265890341390445
2023-01-20,0.8174840250741575,0.0,1,Apple market update,18.200328306353796,4,1,1,0,1,0,-1.867570611409325,1.1097631215009054,0.5265890341390445
2023-01-23,0.068063055374849,0.0,1,Apple market update,18.21930236591974,0,1,1,1,0,0,-1.790770800756173,1.3749117883477966,0.5265890341390445
2023-01-24,-0.5338496671150914,0.0,0,Apple market update,18.011736104289373,1,1,1,0,0,0,-1.7573063064590313,0.5486345474760895,0.5265890341390445
2023-01-25,-0.0069866732535375,0.0,1,Apple market update,18.002119773138816,2,1,1,0,0,0,-1.773195922456235,-0.3639701663225123,0.5265890341390445
2023-01-26,-0.5022326652217131,0.0,1,Apple market update,17.80643902772674,3,1,1,0,0,0,-1.7233603086468232,0.8384482065878077,0.5265890341390445
2023-01-27,0.6876505648002307,0.0,0,Apple market update,18.071914458254852,4,1,1,0,1,0,-1.6768952194428786,0.7706194778595332,0.5265890341390445
2023-01-30,-0.2394672319828074,0.0,1,Apple market update,17.974632690874326,0,1,1,1,0,0,-1.746231725612495,-1.313572368518355,0.5265890341390445
2023-01-31,0.0929758752879849,0.0,1,Apple market update,18.00326198984455,1,1,1,0,0,0,-1.7156562524057548,0.480805818747815,0.5265890341390445
2023-02-01,0.4396548344565758,0.0,1,Apple market update,18.167897249979816,2,2,1,0,0,0,-1.688692055562015,0.4129770900195406,0.5265890341390445
2023-02-06,-1.9523154728283671,0.0,1,Apple market update,18.06197947697851,0,2,1,1,0,0,-1.539425965891313,-1.177914911061806,0.5265890341390445
2023-02-07,0.4684449786960555,0.0,0,Apple market update,18.238230390864523,1,2,1,0,0,0,-1.4703302114792296,1.1097631215009054,0.5265890341390445
