date,close,volume,company,ticker,price_change,volume_change,high_low_ratio,target,headline,news_count,daily_range,price_range_pct
2023-01-04,124.25,89113600,Apple,AAPL,0.0103,-0.2052,1.0286,0,Apple stock market financial update,1.0,0,
2023-01-05,122.93,80962700,Apple,AAPL,-0.0106,-0.0915,1.0241,1,Apple stock market financial update,1.0,0,0.0106
2023-01-06,127.46,87754700,Apple,AAPL,0.0368,0.0839,1.0432,1,Apple stock market financial update,1.0,0,0.0369
2023-01-09,127.98,70790800,Apple,AAPL,0.0041,-0.1933,1.0271,1,Apple market update,1.0,0,0.0041
2023-01-10,128.55,63896200,Apple,AAPL,0.0045,-0.0974,1.0245,1,Apple market update,1.0,0,0.0045
2023-01-11,131.26,69458900,Apple,AAPL,0.0211,0.0871,1.0234,0,Apple market update,1.0,0,0.0211
2023-01-12,131.18,71379600,Apple,AAPL,-0.0006,0.0277,1.0215,1,Apple market update,1.0,0,0.0006
2023-01-13,132.51,57809700,Apple,AAPL,0.0101,-0.1901,1.0248,1,Apple market update,1.0,0,0.0101
2023-01-17,133.67,63646600,Apple,AAPL,0.0088,0.101,1.0236,0,Apple market update,1.0,0,0.0088
2023-01-18,132.95,69672800,Apple,AAPL,-0.0054,0.0947,1.0265,1,Apple market update,1.0,0,0.0054
2023-01-19,133.01,58280400,Apple,AAPL,0.0004,-0.1635,1.0185,1,Apple market update,1.0,0,0.0005
2023-01-20,135.57,80223600,Apple,AAPL,0.0192,0.3765,1.0283,1,Apple market update,1.0,0,0.0192
2023-01-23,138.76,81760300,Apple,AAPL,0.0235,0.0192,1.0393,1,Apple market update,1.0,0,0.0235
2023-01-24,140.15,66435100,Apple,AAPL,0.0101,-0.1874,1.0204,0,Apple market update,1.0,0,0.01
2023-01-25,139.49,65799300,Apple,AAPL,-0.0047,-0.0096,1.0261,1,Apple market update,1.0,0,0.0047
2023-01-26,141.56,54105100,Apple,AAPL,0.0148,-0.1777,1.0166,1,Apple market update,1.0,0,0.0148
2023-01-27,143.49,70555800,Apple,AAPL,0.0137,0.3041,1.029,0,Apple market update,1.0,0,0.0136
2023-01-30,140.61,64015300,Apple,AAPL,-0.0201,-0.0927,1.0189,1,Apple market update,1.0,0,0.0201
2023-01-31,141.88,65874500,Apple,AAPL,0.009,0.029,1.0145,1,Apple market update,1.0,0,0.009
2023-02-01,143.0,77663600,Apple,AAPL,0.0079,0.179,1.0374,1,Apple market update,1.0,0,0.0079
2023-02-02,148.3,118339000,Apple,AAPL,0.0371,0.5237,1.0203,1,Apple market update,1.0,0,0.0371
2023-02-03,151.92,154357300,Apple,AAPL,0.0244,0.3044,1.0646,0,Apple market update,1.0,0,0.0244
2023-02-06,149.2,69858300,Apple,AAPL,-0.0179,-0.5474,1.0154,1,Apple market update,1.0,0,0.0179
2023-02-07,152.07,83322600,Apple,AAPL,0.0192,0.1927,1.0305,0,Apple market update,1.0,0,0.0192
2023-02-08,149.38,64120100,Apple,AAPL,-0.0177,-0.2305,1.0226,0,Apple market update,1.0,0,0.0177
2023-02-09,148.35,56007100,Apple,AAPL,-0.0069,-0.1265,1.026,1,Apple market update,1.0,0,0.0069
2023-02-10,148.72,57450700,Apple,AAPL,0.0025,0.0258,1.0142,1,Apple market update,1.0,0,0.0025
2023-02-13,151.51,62199000,Apple,AAPL,0.0188,0.0826,1.0221,0,Apple market update,1.0,0,0.0188
2023-02-14,150.87,61707600,Apple,AAPL,-0.0042,-0.0079,1.0193,1,Apple market update,1.0,0,0.0042
2023-02-15,152.97,65573800,Apple,AAPL,0.0139,0.0627,1.0171,0,Apple market update,1.0,0,0.0139
2023-02-16,151.38,68167900,Apple,AAPL,-0.0104,0.0396,1.0194,0,Apple market update,1.0,0,0.0104
2023-02-17,150.23,59144100,Apple,AAPL,-0.0075,-0.1324,1.0143,0,Apple market update,1.0,0,0.0076
2023-02-21,146.22,58867200,Apple,AAPL,-0.0267,-0.0047,1.0195,1,Apple market update,1.0,0,0.0267
2023-02-22,146.65,51011300,Apple,AAPL,0.0029,-0.1335,1.019,1,Apple market update,1.0,0,0.0029
2023-02-23,147.13,48394200,Apple,AAPL,0.0033,-0.0513,1.0211,0,Apple market update,1.0,0,0.0033
2023-02-24,144.48,55469600,Apple,AAPL,-0.018,0.1462,1.0101,1,Apple market update,1.0,0,0.018
2023-02-27,145.67,44998500,Apple,AAPL,0.0082,-0.1888,1.0117,0,Apple market update,1.0,0,0.0082
2023-02-28,145.17,50547000,Apple,AAPL,-0.0034,0.1233,1.0153,0,Apple market update,1.0,0,0.0034
2023-03-01,143.1,55479000,Apple,AAPL,-0.0142,0.0976,1.0153,1,Apple market update,1.0,0,0.0143
2023-03-02,143.69,52238100,Apple,AAPL,0.0041,-0.0584,1.0195,1,Apple market update,1.0,0,0.0041
2023-03-03,148.74,70732300,Apple,AAPL,0.0351,0.354,1.0257,1,Apple market update,1.0,0,0.0351
2023-03-06,151.49,87558000,Apple,AAPL,0.0185,0.2379,1.0185,0,Apple market update,1.0,0,0.0185
2023-03-07,149.3,56182000,Apple,AAPL,-0.0145,-0.3583,1.0192,1,Apple market update,1.0,0,0.0145
2023-03-08,150.55,47204800,Apple,AAPL,0.0084,-0.1598,1.0108,0,Apple market update,1.0,0,0.0084
2023-03-09,148.3,53833600,Apple,AAPL,-0.0149,0.1404,1.0287,0,Apple market update,1.0,0,0.0149
2023-03-10,146.24,68572400,Apple,AAPL,-0.0139,0.2738,1.0226,1,Apple market update,1.0,0,0.0139
2023-03-13,148.18,84457100,Apple,AAPL,0.0133,0.2316,1.0368,1,Apple market update,1.0,0,0.0133
2023-03-14,150.27,73695900,Apple,AAPL,0.0141,-0.1274,1.022,1,Apple market update,1.0,0,0.0141
