date,close,volume,company,price_change,volume_change,high_low_ratio,target,headline,news_count
2023-01-04,124.25,89113600,Apple,0.0103,-0.2052,1.0286,0,Apple market update,1.0
2023-01-05,122.93,80962700,Apple,-0.0106,-0.0915,1.0241,1,Apple market update,1.0
2023-01-06,127.46,87754700,Apple,0.0368,0.0839,1.0432,1,Apple market update,1.0
2023-01-09,127.98,70790800,Apple,0.0041,-0.1933,1.0271,1,Apple market update,1.0
2023-01-10,128.55,63896200,Apple,0.0045,-0.0974,1.0245,1,Apple market update,1.0
2023-01-11,131.26,69458900,Apple,0.0211,0.0871,1.0234,0,Apple market update,1.0
2023-01-12,131.18,71379600,Apple,-0.0006,0.0277,1.0215,1,Apple market update,1.0
2023-01-13,132.51,57809700,Apple,0.0101,-0.1901,1.0248,1,Apple market update,1.0
2023-01-17,133.67,63646600,Apple,0.0088,0.101,1.0236,0,Apple market update,1.0
2023-01-18,132.95,69672800,Apple,-0.0054,0.0947,1.0265,1,Apple market update,1.0
2023-01-19,133.01,58280400,Apple,0.0004,-0.1635,1.0185,1,Apple market update,1.0
2023-01-20,135.57,80223600,Apple,0.0192,0.3765,1.0283,1,Apple market update,1.0
2023-01-23,138.76,81760300,Apple,0.0235,0.0192,1.0393,1,Apple market update,1.0
2023-01-24,140.15,66435100,Apple,0.0101,-0.1874,1.0204,0,Apple market update,1.0
2023-01-25,139.49,65799300,Apple,-0.0047,-0.0096,1.0261,1,Apple market update,1.0
2023-01-26,141.56,54105100,Apple,0.0148,-0.1777,1.0166,1,Apple market update,1.0
2023-01-27,143.49,70555800,Apple,0.0137,0.3041,1.029,0,Apple market update,1.0
2023-01-30,140.61,64015300,Apple,-0.0201,-0.0927,1.0189,1,Apple market update,1.0
2023-01-31,141.88,65874500,Apple,0.009,0.029,1.0145,1,Apple market update,1.0
2023-02-01,143.0,77663600,Apple,0.0079,0.179,1.0374,1,Apple market update,1.0
2023-02-02,148.3,118339000,Apple,0.0371,0.5237,1.0203,1,Apple market update,1.0
2023-02-03,151.92,154357300,Apple,0.0244,0.3044,1.0646,0,Apple market update,1.0
2023-02-06,149.2,69858300,Apple,-0.0179,-0.5474,1.0154,1,Apple market update,1.0
2023-02-07,152.07,83322600,Apple,0.0192,0.1927,1.0305,0,Apple market update,1.0
2023-02-08,149.38,64120100,Apple,-0.0177,-0.2305,1.0226,0,Apple market update,1.0
2023-02-09,148.35,56007100,Apple,-0.0069,-0.1265,1.026,1,Apple market update,1.0
