date,close,company,price_change,volume_change,high_low_ratio,target,headline,news_count_log,volume_log,day_of_week,month,quarter,is_monday,is_friday,company_encoded
2023-01-04,124.25,Apple,0.0103,-0.592745899408003,0.0,0,Apple market update,0.6931471805599453,18.305422529500724,2,1,1,0,0,0
2023-01-05,122.93,Apple,-0.0106,-0.23593971250404047,0.0,1,Apple market update,0.6931471805599453,18.209499125101075,3,1,1,0,0,0
2023-01-06,127.46,Apple,0.0368,0.2270597267120796,3.469446951953614e-18,1,Apple market update,0.6931471805599453,18.29005599152486,4,1,1,0,1,0
2023-01-09,127.98,Apple,0.0041,-0.5532454402197409,0.0,1,Apple market update,0.6931471805599453,18.075239620843863,0,1,1,1,0,0
2023-01-10,128.55,Apple,0.0045,-0.2533318206998685,0.0,1,Apple market update,0.6931471805599453,17.972770465311235,1,1,1,0,0,0
2023-01-11,131.26,Apple,0.0211,0.2346022280004348,0.0,0,Apple market update,0.6931471805599453,18.056245783099172,2,1,1,0,0,0
2023-01-12,131.18,Apple,-0.0006,0.08968886947028927,0.0,1,Apple market update,0.6931471805599453,18.0835226862096,3,1,1,0,0,0
2023-01-13,132.51,Apple,0.0101,-0.5427102114283452,0.0,1,Apple market update,0.6931471805599453,17.872667156929733,4,1,1,0,1,0
2023-01-17,133.67,Apple,0.0088,0.2670335922237309,0.0,0,Apple market update,0.6931471805599453,17.9688564801278,1,1,1,0,0,0
2023-01-18,132.95,Apple,-0.0054,0.2524007318313299,0.0,1,Apple market update,0.6931471805599453,18.059320570016148,2,1,1,0,0,0
2023-01-19,133.01,Apple,0.0004,-0.4565541768270512,0.0,1,Apple market update,0.6931471805599453,17.880776419844135,3,1,1,0,0,0
2023-01-20,135.57,Apple,0.0192,0.8174840250741575,0.0,1,Apple market update,0.6931471805599453,18.200328306353796,4,1,1,0,1,0
2023-01-23,138.76,Apple,0.0235,0.068063055374849,0.0,1,Apple market update,0.6931471805599453,18.21930236591974,0,1,1,1,0,0
2023-01-24,140.15,Apple,0.0101,-0.5338496671150914,0.0,0,Apple market update,0.6931471805599453,18.011736104289373,1,1,1,0,0,0
2023-01-25,139.49,Apple,-0.0047,-0.006986673253537584,0.0,1,Apple market update,0.6931471805599453,18.002119773138816,2,1,1,0,0,0
2023-01-26,141.56,Apple,0.0148,-0.5022326652217131,0.0,1,Apple market update,0.6931471805599453,17.80643902772674,3,1,1,0,0,0
2023-01-27,143.49,Apple,0.0137,0.6876505648002307,0.0,0,Apple market update,0.6931471805599453,18.071914458254852,4,1,1,0,1,0
2023-01-30,140.61,Apple,-0.0201,-0.23946723198280748,0.0,1,Apple market update,0.6931471805599453,17.974632690874326,0,1,1,1,0,0
2023-01-31,141.88,Apple,0.009,0.09297587528798497,0.0,1,Apple market update,0.6931471805599453,18.00326198984455,1,1,1,0,0,0
2023-02-01,143.0,Apple,0.0079,0.4396548344565758,0.0,1,Apple market update,0.6931471805599453,18.167897249979816,2,2,1,0,0,0
2023-02-02,148.3,Apple,0.0371,1.0560254348077076,0.0,1,Apple market update,0.6931471805599453,18.58906395339926,3,2,1,0,0,0
2023-02-03,151.92,Apple,0.0244,0.6882077292081545,3.469446951953614e-18,0,Apple market update,0.6931471805599453,18.85478060938106,4,2,1,0,1,0
2023-02-06,149.2,Apple,-0.0179,-1.9523154728283674,0.0,1,Apple market update,0.6931471805599453,18.061979476978514,0,2,1,1,0,0
2023-02-07,152.07,Apple,0.0192,0.46844497869605556,0.0,0,Apple market update,0.6931471805599453,18.238230390864523,1,2,1,0,0,0
2023-02-08,149.38,Apple,-0.0177,-0.6784210681181941,0.0,0,Apple market update,0.6931471805599453,17.97626846087594,2,2,1,0,0,0
2023-02-09,148.35,Apple,-0.0069,-0.340898965407362,0.0,1,Apple market update,0.6931471805599453,17.840989044231957,3,2,1,0,0,0
2023-02-10,148.72,Apple,0.0025,0.08487506238050097,0.0,1,Apple market update,0.6931471805599453,17.866437764099306,4,2,1,0,1,0
2023-02-13,151.51,Apple,0.0188,0.22398732373100957,0.0,0,Apple market update,0.6931471805599453,17.94584949648718,0,2,1,1,0,0
2023-02-14,150.87,Apple,-0.0042,-0.0024787307450995946,0.0,1,Apple market update,0.6931471805599453,17.93791767415672,1,2,1,0,0,0
2023-02-15,152.97,Apple,0.0139,0.17634966983607106,0.0,0,Apple market update,0.6931471805599453,17.99868679914288,2,2,1,0,0,0
2023-02-16,151.38,Apple,-0.0104,0.11957797766302432,0.0,0,Apple market update,0.6931471805599453,18.037484352194543,3,2,1,0,0,0
