date,open,high,low,close,volume,company,ticker,price_change,volume_change,high_low_ratio,target
2023-01-04,124.77,126.51,122.99,124.25,89113600,Apple,AAPL,0.0103,-0.2052,1.0286,0
2023-01-05,125.01,125.64,122.68,122.93,80962700,Apple,AAPL,-0.0106,-0.0915,1.0241,1
2023-01-06,123.91,128.12,122.81,127.46,87754700,Apple,AAPL,0.0368,0.0839,1.0432,1
2023-01-09,128.29,131.18,127.72,127.98,70790800,Apple,AAPL,0.0041,-0.1933,1.0271,1
2023-01-10,128.09,129.07,125.98,128.55,63896200,Apple,AAPL,0.0045,-0.0974,1.0245,1
2023-01-11,129.06,131.28,128.28,131.26,69458900,Apple,AAPL,0.0211,0.0871,1.0234,0
2023-01-12,131.65,132.02,129.25,131.18,71379600,Apple,AAPL,-0.0006,0.0277,1.0215,1
2023-01-13,129.83,132.67,129.46,132.51,57809700,Apple,AAPL,0.0101,-0.1901,1.0248,1
2023-01-17,132.58,135.0,131.89,133.67,63646600,Apple,AAPL,0.0088,0.101,1.0236,0
2023-01-18,134.54,136.3,132.78,132.95,69672800,Apple,AAPL,-0.0054,0.0947,1.0265,1
2023-01-19,131.84,133.98,131.54,133.01,58280400,Apple,AAPL,0.0004,-0.1635,1.0185,1
2023-01-20,133.02,135.72,131.98,135.57,80223600,Apple,AAPL,0.0192,0.3765,1.0283,1
2023-01-23,135.81,140.93,135.6,138.76,81760300,Apple,AAPL,0.0235,0.0192,1.0393,1
2023-01-24,137.97,140.77,137.96,140.15,66435100,Apple,AAPL,0.0101,-0.1874,1.0204,0
2023-01-25,138.54,140.05,136.49,139.49,65799300,Apple,AAPL,-0.0047,-0.0096,1.0261,1
2023-01-26,140.78,141.84,139.53,141.56,54105100,Apple,AAPL,0.0148,-0.1777,1.0166,1
2023-01-27,140.77,144.77,140.69,143.49,70555800,Apple,AAPL,0.0137,0.3041,1.029,0
2023-01-30,142.54,143.12,140.47,140.61,64015300,Apple,AAPL,-0.0201,-0.0927,1.0189,1
2023-01-31,140.32,141.93,139.91,141.88,65874500,Apple,AAPL,0.009,0.029,1.0145,1
2023-02-01,141.57,144.16,138.96,143.0,77663600,Apple,AAPL,0.0079,0.179,1.0374,1
2023-02-02,146.41,148.66,145.7,148.3,118339000,Apple,AAPL,0.0371,0.5237,1.0203,1
2023-02-03,145.56,154.75,145.36,151.92,154357300,Apple,AAPL,0.0244,0.3044,1.0646,0
2023-02-06,150.02,150.54,148.26,149.2,69858300,Apple,AAPL,-0.0179,-0.5474,1.0154,1
2023-02-07,148.13,152.64,148.13,152.07,83322600,Apple,AAPL,0.0192,0.1927,1.0305,0
2023-02-08,151.31,152.0,148.65,149.38,64120100,Apple,AAPL,-0.0177,-0.2305,1.0226,0
2023-02-09,151.21,151.75,147.91,148.35,56007100,Apple,AAPL,-0.0069,-0.1265,1.026,1
2023-02-10,147.19,149.04,146.95,148.72,57450700,Apple,AAPL,0.0025,0.0258,1.0142,1
2023-02-13,148.66,151.92,148.63,151.51,62199000,Apple,AAPL,0.0188,0.0826,1.0221,0
2023-02-14,149.81,151.43,148.57,150.87,61707600,Apple,AAPL,-0.0042,-0.0079,1.0193,1
2023-02-15,150.78,153.14,150.56,152.97,65573800,Apple,AAPL,0.0139,0.0627,1.0171,0
2023-02-16,151.18,153.96,151.02,151.38,68167900,Apple,AAPL,-0.0104,0.0396,1.0194,0
2023-02-17,150.04,150.68,148.56,150.23,59144100,Apple,AAPL,-0.0075,-0.1324,1.0143,0
2023-02-21,147.92,149.0,146.16,146.22,58867200,Apple,AAPL,-0.0267,-0.0047,1.0195,1
2023-02-22,146.61,147.67,144.92,146.65,51011300,Apple,AAPL,0.0029,-0.1335,1.019,1
2023-02-23,147.81,148.06,145.0,147.13,48394200,Apple,AAPL,0.0033,-0.0513,1.0211,0
2023-02-24,144.88,144.95,143.51,144.48,55469600,Apple,AAPL,-0.018,0.1462,1.0101,1
2023-02-27,145.47,146.9,145.21,145.67,44998500,Apple,AAPL,0.0082,-0.1888,1.0117,0
2023-02-28,144.82,146.82,144.6,145.17,50547000,Apple,AAPL,-0.0034,0.1233,1.0153,0
2023-03-01,144.6,144.99,142.81,143.1,55479000,Apple,AAPL,-0.0142,0.0976,1.0153,1
2023-03-02,142.19,144.48,141.71,143.69,52238100,Apple,AAPL,0.0041,-0.0584,1.0195,1
2023-03-03,145.79,148.82,145.09,148.74,70732300,Apple,AAPL,0.0351,0.354,1.0257,1
2023-03-06,151.45,153.93,151.13,151.49,87558000,Apple,AAPL,0.0185,0.2379,1.0185,0
2023-03-07,151.37,151.69,148.83,149.3,56182000,Apple,AAPL,-0.0145,-0.3583,1.0192,1
2023-03-08,150.49,151.14,149.52,150.55,47204800,Apple,AAPL,0.0084,-0.1598,1.0108,0
2023-03-09,151.23,152.19,147.95,148.3,53833600,Apple,AAPL,-0.0149,0.1404,1.0287,0
2023-03-10,147.93,148.65,145.37,146.24,68572400,Apple,AAPL,-0.0139,0.2738,1.0226,1
2023-03-13,145.57,150.81,145.46,148.18,84457100,Apple,AAPL,0.0133,0.2316,1.0368,1
2023-03-14,148.98,151.07,147.82,150.27,73695900,Apple,AAPL,0.0141,-0.1274,1.022,1
2023-03-15,148.89,150.92,147.64,150.67,77167900,Apple,AAPL,0.0026,0.0471,1.0222,1
2023-03-16,149.85,154.08,149.34,153.48,76161100,Apple,AAPL,0.0187,-0.013,1.0318,0
2023-03-17,153.71,154.36,151.94,152.65,98944600,Apple,AAPL,-0.0055,0.2991,1.0159,1
2023-03-20,152.71,155.42,151.81,155.01,73641400,Apple,AAPL,0.0155,-0.2557,1.0238,1
2023-03-21,154.93,156.98,154.16,156.86,73938300,Apple,AAPL,0.0119,0.004,1.0183,0
2023-03-22,156.88,159.68,155.41,155.43,75701800,Apple,AAPL,-0.0091,0.0239,1.0274,1
2023-03-23,156.42,159.1,155.29,156.52,67622100,Apple,AAPL,0.007,-0.1067,1.0245,1
2023-03-24,156.45,157.9,155.45,157.82,59196500,Apple,AAPL,0.0083,-0.1246,1.0158,0
2023-03-27,157.51,158.33,155.47,155.88,52390300,Apple,AAPL,-0.0123,-0.115,1.0184,0
2023-03-28,155.57,156.08,153.61,155.26,45992200,Apple,AAPL,-0.004,-0.1221,1.0161,1
2023-03-29,156.95,158.6,156.93,158.33,51305700,Apple,AAPL,0.0198,0.1155,1.0107,1
2023-03-30,159.08,160.0,158.82,159.89,49501700,Apple,AAPL,0.0099,-0.0352,1.0074,1
2023-03-31,159.97,162.49,159.45,162.4,68749800,Apple,AAPL,0.0156,0.3888,1.0191,1
2023-04-03,161.78,163.76,161.73,163.65,56976200,Apple,AAPL,0.0077,-0.1713,1.0126,0
2023-04-04,164.07,164.31,162.6,163.11,46278300,Apple,AAPL,-0.0032,-0.1878,1.0105,0
2023-04-05,162.24,162.54,159.34,161.27,51511700,Apple,AAPL,-0.0113,0.1131,1.0201,1
2023-04-06,159.96,162.45,159.54,162.16,45390100,Apple,AAPL,0.0055,-0.1188,1.0183,0
2023-04-10,158.97,159.57,157.65,159.57,47716900,Apple,AAPL,-0.016,0.0513,1.0122,0
